(1, 16)
(2, 16)
(3, 16)
(3, 15)
(3, 14)
(4, 14)
(5, 14)
(6, 14)
(7, 14)
(8, 14)
(9, 14)
(10, 14)
(10, 15)
(10, 16)
(10, 17)
(10, 18)
(10, 19)
(10, 20)
(10, 21)
(10, 22)
(10, 23)
(10, 24)
(10, 25)
(10, 26)
(11, 26)
(12, 26)
(13, 26)
(14, 26)
(14, 27)
(14, 28)
(14, 29)
(14, 30)
(14, 31)
(14, 32)
(14, 33)
(14, 34)
(14, 35)
(14, 36)
(14, 37)
(14, 38)
(14, 39)
(14, 40)
(14, 41)
(14, 42)
(14, 43)
(14, 44)
(14, 45)
(14, 46)
(14, 47)
(14, 48)
(14, 49)
(14, 50)
(14, 51)
(14, 52)
(14, 53)
(14, 54)
(14, 55)
(14, 56)
(14, 57)
(14, 58)
(14, 59)
(14, 60)
(14, 61)
(14, 62)
(14, 63)
(14, 64)
(14, 65)
(13, 65)
(12, 65)
(11, 65)
(10, 65)
(10, 66)
(10, 67)
(10, 68)
(10, 69)
(10, 70)
(10, 71)
(10, 72)
(10, 73)
(10, 74)
(10, 75)
(10, 76)
(10, 77)
(10, 78)
(10, 79)
(10, 80)
(10, 81)
(10, 82)
(10, 83)
(10, 84)
(10, 85)
(10, 86)
(10, 87)
(10, 88)
(10, 89)
(10, 90)
(10, 91)
(10, 92)
(10, 93)
(10, 94)
(10, 95)
(11, 95)
(11, 96)
(11, 97)
(12, 97)
(13, 97)
(14, 97)
(15, 97)
(16, 97)
(17, 97)
(17, 98)
(17, 99)
(17, 100)
(17, 101)
(17, 102)
(17, 103)
(17, 104)
(17, 105)
(17, 106)
(17, 107)
(17, 108)
(17, 109)
(17, 110)
(17, 111)
(17, 112)
(17, 113)
(17, 114)
(17, 115)
(17, 116)
(17, 117)
(17, 118)
(17, 119)
(17, 120)
(17, 121)
(17, 122)
(17, 123)
(17, 124)
(18, 124)
(19, 124)
(20, 124)
(21, 124)
(22, 124)
(22, 125)
(22, 126)
(22, 127)
(22, 128)
(22, 129)
(22, 130)
(22, 131)
(22, 132)
(22, 133)
(22, 134)
(22, 135)
(22, 136)
(21, 136)
(20, 136)
(20, 137)
(20, 138)
(20, 139)
(20, 140)
(20, 141)
(20, 142)
(20, 143)
(20, 144)
(20, 145)
(20, 146)
(20, 147)
(20, 148)
(20, 149)
(20, 150)
(20, 151)
(20, 152)
(19, 152)
(18, 152)
(17, 152)
(16, 152)
(16, 153)
(16, 154)
(16, 155)
(16, 156)
(16, 157)
(16, 158)
(16, 159)
(16, 160)
(16, 161)
(16, 162)
(16, 163)
(17, 163)
(18, 163)
(19, 163)
(19, 164)
(19, 165)
(19, 166)
(19, 167)
(19, 168)
(19, 169)
(18, 169)
(17, 169)
(16, 169)
(15, 169)
(14, 169)
(13, 169)
(12, 169)
(11, 169)
(10, 169)
(10, 170)
